"ROL4","AlternateDialectName","Source","EditName","EditDate"
15,"Cholti","GRN / ROD","BM",4/1/2010 0:00:00
15,"Chorte","GRN / ROD","BM",4/1/2010 0:00:00
16,"De Oaxaca","GRN / ROD","BM",4/1/2010 0:00:00
16,"Oaxaca: Costal","GRN / ROD","BM",4/1/2010 0:00:00
17,"Chontal of Tabasco","GRN / ROD","BM",4/1/2010 0:00:00
17,"Tabasco","GRN / ROD","BM",4/1/2010 0:00:00
18,"Cocopa","GRN / ROD","BM",4/1/2010 0:00:00
19,"Haitian (creole)","GRN / ROD","BM",4/1/2010 0:00:00
19,"Haitian Creole French","GRN / ROD","BM",4/1/2010 0:00:00
21,"Belanda","GRN / ROD","BM",4/1/2010 0:00:00
21,"Dutch","GRN / ROD","BM",4/1/2010 0:00:00
21,"Flemish","GRN / ROD","BM",4/1/2010 0:00:00
31,"Cacche","GRN / ROD","BM",4/1/2010 0:00:00
31,"Cacché","GRN / ROD","BM",4/1/2010 0:00:00
31,"Cache","GRN / ROD","BM",4/1/2010 0:00:00
31,"Cahabon Kekchi","GRN / ROD","BM",4/1/2010 0:00:00
31,"Caichi","GRN / ROD","BM",4/1/2010 0:00:00
31,"Cechi","GRN / ROD","BM",4/1/2010 0:00:00
31,"Central Kekchi","GRN / ROD","BM",4/1/2010 0:00:00
31,"Coban Kekchi","GRN / ROD","BM",4/1/2010 0:00:00
31,"Eastern Kekchi","GRN / ROD","BM",4/1/2010 0:00:00
31,"Kachice","GRN / ROD","BM",4/1/2010 0:00:00
31,"Kahchi","GRN / ROD","BM",4/1/2010 0:00:00
31,"K'ekchi'","GRN / ROD","BM",4/1/2010 0:00:00
31,"Kekchi Occidental","GRN / ROD","BM",4/1/2010 0:00:00
31,"Kekchi Oriental","GRN / ROD","BM",4/1/2010 0:00:00
31,"Ketchí","GRN / ROD","BM",4/1/2010 0:00:00
31,"Quecchi","GRN / ROD","BM",4/1/2010 0:00:00
31,"Quecchí","GRN / ROD","BM",4/1/2010 0:00:00
32,"Congo Swahili","GRN / ROD","BM",4/1/2010 0:00:00
