"PeopleID3","PeopName","Pronunciation","PeopNameSpanish","PeopNameGerman","PeopNamePortuguese","PeopNameFrench","PeopNameIndonesian","PeopNameThai","PeopNameHindi","ROP3_31Dec2009","ROP3","PeopleID2","JPScalePGACOld","JPScalePGAC","PercentChristianPGAC","PercentEvangelicalPGAC","LeastReachedPGAC","ROG3Largest","NbrCountries","PopulationPGAC","ROL3PGAC","RLG3PGAC","RaceCode","OmidCommunityName","OmidNCode","LargeSouthAsianLanguageROL3","Memo","Source","EditName","EditDate"
12500,"Kanowit",,,,,,,,,104590,104590,155,"1.1",1,2.00,0.00,"Y","MY",1,200,"kxn",4,"MSY44z",,,,"Being absorbed by Iban",,"TW",10/4/2000 0:00:00
12501,"Kansa",,,,,,,,,104591,104591,246,"2.2",2,60.00,2.00,,"US",1,1700,"eng",1,"MIR38a",,,,"19 speakers; Language nearly extinct; Oklahoma",,"TW",10/4/2000 0:00:00
12502,"Kantosi",,,,,,,,,104594,104594,183,"1.2",1,1.00,0.20,"Y","GH",1,3300,"xkt",6,"NAB56a",,,,,,"TW",10/4/2000 0:00:00
12503,"Katu, Western",,,,,,,,,104595,104595,239,"1.2",1,1.00,0.80,"Y","LA",1,28000,"kuf",4,"AUG03z",,,,,,"TW",10/4/2000 0:00:00
12504,"Kanu",,,,,,,,,104596,104596,334,"3.1",4,90.00,3.00,,"CG",1,13000,"khx",1,"NAB57c",,,,,,"TW",10/4/2000 0:00:00
12505,"Kanufi",,,,,,,,,104597,104597,140,"3.1",4,10.00,3.84,,"NI",1,17000,"kni",4,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
12506,"Kanum, Enkelembu",,,,,,,,,104601,104601,244,"3.2",4,42.35,9.88,,"PP",2,600,"kcd",4,"AON10a",,,,,,"TW",10/4/2000 0:00:00
12507,"Kanum, Sota",,,,,,,,,104603,104603,244,"3.2",4,43.60,8.27,,"PP",2,500,"krz",4,"AON10a",,,,,,"TW",10/4/2000 0:00:00
12508,"Kanuri, Tumari",,,,,,,,,104604,104604,159,"1.1",1,0.00,0.00,"Y","NG",1,83000,"krt",6,"NAB61",,,,,,"TW",10/4/2000 0:00:00
12509,"Kanuri, Yerwa",,,,"Kanuri yerwa",,,,,104605,104605,159,"1.1",1,0.00,0.00,"Y","NI",5,7427000,"knc",6,"NAB61",,,,,,"TW",10/4/2000 0:00:00
12510,"Kanyok",,,,,,,,,104607,104607,337,"3.2",5,100.00,20.00,,"CG",1,415000,"kny",1,"NAB57f",,,,,,"TW",10/4/2000 0:00:00
12511,"Kaonde",,,,,,,,,104608,104608,338,"3.2",5,91.67,23.72,,"ZA",2,351000,"kqn",1,"NAB57b",,,,,,"TW",10/4/2000 0:00:00
12512,"Kapau",,,,,,,,,104612,104612,244,"3.2",5,99.00,31.00,,"PP",1,81000,"hmt",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12513,"Kapinawa",,,,,,,,,104614,104614,290,"3.2",4,50.00,7.00,,"BR",1,4000,"por",4,"MIR39#",,,,"All speak Portuguese; language extinct",,"TW",10/4/2000 0:00:00
12514,"Kapingamarangi",,"Kapingamarangiano","Kapingamarangier",,"Kapingamarangien",,,,104615,104615,269,"3.2",5,93.00,30.00,,"FM",1,2500,"kpg",1,"MPY55z",,,,,,"TW",10/4/2000 0:00:00
12515,"Kapauri",,,,,,,,,104616,104616,244,"3.1",4,60.00,3.00,,"ID",1,200,"khp",1,"AON10a",,,,,,"TW",10/4/2000 0:00:00
12516,"Kapriman",,,,,,,,,104618,104618,244,"3.2",5,95.00,21.00,,"PP",1,2300,"dju",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12517,"Kapsiki",,,,,,,,,104619,104619,158,"3.1",4,35.82,5.00,,"CM",2,131000,"kvj",6,"NAB60b",,,,,,"TW",10/4/2000 0:00:00
12518,"Bezhta",,,"Beschtiner",,,,,,104620,104620,157,"1.2",1,0.02,0.02,"Y","RS",2,9800,"kap",6,"CEW17b",,,,,,"TW",10/4/2000 0:00:00
12519,"Kara",,,,,,,,,104624,114947,336,"3.2",5,15.50,11.39,,"CT",2,21100,"kcm",6,"NAB57d",,,,,,"BM",11/12/2008 0:00:00
12520,"Kara, Fertit",,,,,,,,,104625,104625,132,"3.2",5,25.00,15.00,,"CT",1,7000,"kah",6,"NAB66z",,,,,,"TW",10/4/2000 0:00:00
12521,"Karachai",,,"Karatschaier, Alan",,,,,,104628,104628,157,"1.2",1,0.02,0.02,"Y","RS",3,229300,"krc",6,"MSY41z",,,,,,"TW",10/4/2000 0:00:00
